"id","poble","advocació","comarca","alçada"
283,"Argentera, L'","Sant Bartomeu","Baix Camp, el","22.72"
284,"Borges del Camp, Les","L'Assumpció","Baix Camp, el","42.37"
285,"Botarell","Sant Llorenç","Baix Camp, el","29.85"
286,"Cambrils","Santa Maria ","Baix Camp, el","28.4"
287,"Capafonts","Santa Maria","Baix Camp, el","30.69"
288,"Castellvell del Camp","Sant Vicenç","Baix Camp, el","23.13"
289,"Colldejou","Sant Llorenç","Baix Camp, el","21.95"
290,"Duesaigües","Santa Maria","Baix Camp, el","24.46"
291,"Febró, La","Sant Esteve","Baix Camp, el","15.56"
292,"Hospitalet de l'Infant, L'","Sant Pere","Baix Camp, el","24.4"
293,"Irles, Les","Santa Antoni de Pàdua","Baix Camp, el","16.5"
294,"Maspujols","L'Assumpció","Baix Camp, el","40.66"
295,"Masriudoms","Sant Jaume","Baix Camp, el","19.28"
296,"Mont-roig del Camp","Sant Miquel","Baix Camp, el","33.21"
297,"Montbrió del Camp","Sant Pere","Baix Camp, el","27.66"
298,"Mussara, La","Sant Salvador","Baix Camp, el","12.33"
299,"Prades","Santa Maria","Baix Camp, el","33.4"
300,"Pratdip","Santa Maria","Baix Camp, el","15.74"
301,"Reus","Sant Pere","Baix Camp, el","63.00"
302,"Riudecanyes","Sant Mateu","Baix Camp, el","28.39"
303,"Riudecols","Sant Pere","Baix Camp, el","26.4"
304,"Riudoms","Sant Jaume","Baix Camp, el","33.75"
305,"Selva del Camp, La","Sant Andreu","Baix Camp, el","26.19"
306,"Vandellós","Sant Andreu","Baix Camp, el","26.61"
307,"Vilanova d'Escornalbou","Sant Joan","Baix Camp, el","22.26"
308,"Vilaplana","La Nativitat de Maria","Baix Camp, el","32.00"
309,"Vinyols","Santa Caterina","Baix Camp, el","36.00"
310,"Aldea, L'  (L'Hostal dels Alls)","Sant Josep","Baix Ebre, el","21.62"
311,"Aldover","La Nativitat de Maria","Baix Ebre, el","22.92"
312,"Alfara de Carles","Sant Agustí","Baix Ebre, el","23.88"
313,"Ametlla del Mar, L'","La Purificació de Maria","Baix Ebre, el","22.86"
314,"Benifallet","L'Assumpció","Baix Ebre, el","29.16"
315,"Bítem","Mare de Déu de l'Oliva","Baix Ebre, el","19.82"
316,"Camarles","Sant Jaume","Baix Ebre, el","25.87"
317,"Cava, La","Sant Miquel","Baix Ebre, el","26.03"
318,"Jesús","Sant Francesc d'Assís","Baix Ebre, el","32.66"
319,"Jesús i Maria","L'Assumpció","Baix Ebre, el","21.86"
320,"Lligallo del Gàngul","Sant Joan Baptista","Baix Ebre, el","10.23"
321,"Perelló, El","L'Assumpció","Baix Ebre, el","21.03"
322,"Reguers, Els","Sant Antoni Abat","Baix Ebre, el","18.34"
323,"Roquetes","Sant Antoni de Pàdua","Baix Ebre, el","27.83"
324,"Tivenys","Sant Miquel","Baix Ebre, el","35.45"
325,"Tortosa","Catedral","Baix Ebre, el","28.66"
326,"Tortosa","Mare de Déu del Roser","Baix Ebre, el","51.28"
327,"Tortosa","Mare de Déu dels Àngels","Baix Ebre, el","30.37"
328,"Tortosa","Sant Blai","Baix Ebre, el","25.03"
329,"Tortosa","Sant Jaume","Baix Ebre, el","25.68"
330,"Xerta","L'Assumpció","Baix Ebre, el","28.37"
331,"Albons","Sant Cugat","Baix Empordà, el","23.89"
332,"Begur","Sant Pere","Baix Empordà, el","30.53"
333,"Bisbal d'Empordà, La","Santa Maria","Baix Empordà, el","45.00"
334,"Calonge de Mar","Sant Martí","Baix Empordà, el","33.76"
335,"Canet de la Tallada","Sant Mateu","Baix Empordà, el","13.39"
336,"Casavells","Sant Genís","Baix Empordà, el","14.85"
337,"Cassà de Pelràs","Sant Martí","Baix Empordà, el","11.53"
338,"Castell d'Aro","La Nativitat de Maria","Baix Empordà, el","32.13"
339,"Castell d'Empordà","Sant Martí","Baix Empordà, el","15.21"
340,"Colomers","Santa Maria","Baix Empordà, el","26.15"
341,"Corçà","Sant Julià i santa Basilissa","Baix Empordà, el","38.55"
342,"Cruïlles","Sant Sadurní","Baix Empordà, el","17.00"
343,"Estartit, L'","Santa Anna","Baix Empordà, el","18.8"
344,"Fitor","Santa Coloma","Baix Empordà, el","18.81"
345,"Fonteta","Santa Maria","Baix Empordà, el","23.66"
346,"Gaüses","Santa Maria","Baix Empordà, el","28.13"
347,"Gualta","Santa Maria","Baix Empordà, el","21.75"
348,"Jafre de Ter","Sant Martí","Baix Empordà, el","28.96"
349,"Llabià","Sant Romà","Baix Empordà, el","19.31"
350,"Llofriu","Sant Fruitós","Baix Empordà, el","21.12"
351,"Matajudaica","Sant Joan","Baix Empordà, el","14.85"
352,"Monells","Sant Genís","Baix Empordà, el","26.45"
353,"Mont-ras","Sant Esteve","Baix Empordà, el","31.55"
354,"Palafrugell","Sant Martí","Baix Empordà, el","39.55"
355,"Palamós","Santa Eugènia","Baix Empordà, el","23.77"
356,"Palamós","Santa Maria","Baix Empordà, el","50.98"
357,"Pals","Sant Pere","Baix Empordà, el","21.28"
358,"Parlavà","Sant Feliu","Baix Empordà, el","27.64"
359,"Pera, La","Sant Isidor","Baix Empordà, el","29.66"
360,"Platja d'Aro-Fenals","Santa Maria","Baix Empordà, el","21.68"
361,"Púbol","Sant Pere","Baix Empordà, el","25.57"
362,"Regencós","Sant Vicenç","Baix Empordà, el","25.34"
363,"Romanyà de la Selva","Sant Martí","Baix Empordà, el","15.2"
364,"Rupià","Santa Vicenç","Baix Empordà, el","33.52"
365,"Sala, La","Santa Maria","Baix Empordà, el","24.5"
366,"Sant Antoni de Calonge","Sant Antoni","Baix Empordà, el","21.3"
367,"Sant Cebrià de Lledó","Sant Cebrià i Sants Cosme i Damià","Baix Empordà, el","19.23"
368,"Sant Climent de Peralta","Sant Climent","Baix Empordà, el","18.23"
369,"Sant Feliu de Guíxols","Mare de Déu dels Àngels","Baix Empordà, el","25.01"
370,"Sant Sadurní de l'Heura","Sant Sadurní","Baix Empordà, el","31.57"
371,"Santa Cristina d'Aro","Santa Cristina","Baix Empordà, el","27.8"
372,"Santa Pellaia","Santa Pellaia","Baix Empordà, el","19.2"
373,"Serra de Daró","Santa Maria","Baix Empordà, el","14.68"
374,"Solius","Santa Agnès, monestir de Santa Maria","Baix Empordà, el","29.33"
375,"Torrent","Sant Vicenç","Baix Empordà, el","24.03"
376,"Torroella de Montgrí","Sant Genís","Baix Empordà, el","36.62"
377,"Ultramort","Santa Eulàlia","Baix Empordà, el","20.08"
378,"Ullà","Santa Maria","Baix Empordà, el","19.49"
379,"Verges","Sant Julià i santa Basilissa","Baix Empordà, el","30.99"
380,"Vilopriu","Sant Pere","Baix Empordà, el","14.55"
381,"Vulpellac","Sant Julià","Baix Empordà, el","22.86"
382,"Abrera","Sant Pere","Baix Llobregat, el","17.85"
383,"Begues","Sant Cristòfol, església nova","Baix Llobregat, el","30.00"
384,"Begues","Sant Cristòfol, església vella","Baix Llobregat, el","16.00"
385,"Castelldefels","Nostra Senyora de Montserrat","Baix Llobregat, el","31.00"
386,"Castelldefels – Bellamar","Santa Eulàlia","Baix Llobregat, el","12.25"
387,"Cervelló","Sant Esteve","Baix Llobregat, el","21.3"
388,"Collbató","Sant Corneli","Baix Llobregat, el","26.75"
389,"Corbera de Baix","Sant Antoni","Baix Llobregat, el","28.00"
390,"Corbera de Dalt","Santa Maria ","Baix Llobregat, el","20.3"
391,"Cornellà de Llobregat","Santa Maria","Baix Llobregat, el","43.5"
392,"Esparreguera","Santa Eulàlia","Baix Llobregat, el","63.00"
393,"Esplugues de Llobregat","Santa Maria Magdalena","Baix Llobregat, el","28.00"
394,"Gavà","Sant Pere","Baix Llobregat, el","34.6"
395,"Martorell","Santa Maria","Baix Llobregat, el","25.00"
396,"Molins de Rei","Sant Bartomeu de la Quadra","Baix Llobregat, el","12.5"
397,"Molins de Rei","Sant Miquel","Baix Llobregat, el","47.00"
398,"Palma de Cervelló,  La","Santa Maria ","Baix Llobregat, el","21.00"
399,"Pallejà","Santa Eulàlia","Baix Llobregat, el","24.56"
400,"Papiol, El","Santa Eulàlia","Baix Llobregat, el","25.4"
401,"Prat de Llobregat, El","Sant Pere i sant Pau","Baix Llobregat, el","29.00"
402,"Sant Andreu de la Barca","Sant Andreu","Baix Llobregat, el","37.5"
403,"Sant Boi de Llobregat","Sant Baldiri","Baix Llobregat, el","45.00"
404,"Sant Climent de Llobregat","Sant Climent","Baix Llobregat, el","20.6"
405,"Sant Esteve Sesrovires","Sant Esteve","Baix Llobregat, el","35.00"
406,"Sant Feliu de Llobregat","Sant Joan","Baix Llobregat, el","9.75"
407,"Sant Feliu de Llobregat","Sant Llorenç, catedral","Baix Llobregat, el","40.2"
